id,region,lat,lon,alt
q9dbfd2r,Şərur,40.4488869060173,47.203126748380726,193.50987902582096
z7j9n4oh,Daşkəsən,40.64199170924719,47.089705061251905,191.36287783668558
nwuprxzy,Tovuz,39.541805801595714,44.97440364417526,27.90992803983376
2oaygixa,Saatlı,39.79858151534226,48.13927704790236,84.36715635524865
hxkqh886,Qusar,40.5144482411253,47.67242556585612,39.20201125785702
e1gihl76,Qobustan,41.48510855548316,48.84727509285606,35.513313706817556
wx8v08a8,Culfa,40.57505204268206,49.667119071532014,-21.516002108457457
ncaezn0i,Xaçmaz,40.59059428921586,46.352129717137494,110.19979681537626
oozm55d3,Ağdam,38.90259907513215,46.02107732999667,85.61617534263814
wo29m5gv,Tərtər,40.64532417382784,46.321636899645455,-18.159887212502447
1bf11t3k,Bərdə,41.46570114288595,46.99947252930195,34.08868677442064
1y6a0mcf,Saatlı,39.136183452932826,45.46160323169203,178.90115377233036
